SIA_Anti_tank_5: "SIAT 84"
SIA_Anti_tank_6: "SIAT 93"
SIA_Anti_tank_7: "SIAT 108"
SIA_Anti_tank_8: "SIAT 109"
SIA_Anti_tank_9: "SIAT 123"
SIA_Anti_tank_10: "SIAT 135"
SIA_Anti_tank_11: "SIAT 141"
SIA_Heavy_Anti_tank_5: "MGFART-15"
SIA_Heavy_Anti_tank_6: "MGFART-23"
SIA_Heavy_Anti_tank_7: "MGFART-27"
SIA_Heavy_Anti_tank_8: "MGFART-41"
SIA_Heavy_Anti_tank_9: "MGFART-44"
SIA_Heavy_Anti_tank_10: "MGFART-56"
SIA_Heavy_Anti_tank_11: "MGFART-68"
SIA_artillery_5: "DT-91"
SIA_artillery_6: "DT-99"
SIA_artillery_7: "DT-113"
SIA_artillery_8: "DT-126"
SIA_artillery_9: "DT-134"
SIA_artillery_10: "DT-144"
SIA_artillery_11: "DT-145"
SIA_Anti_air_5: "RAA-64"
SIA_Anti_air_6: "RAA-74"
SIA_Anti_air_7: "RAA-80"
SIA_Anti_air_8: "RAA-82"
SIA_Anti_air_9: "RAA-96"
SIA_Anti_air_10: "RAA-105"
SIA_Anti_air_11: "RAA-108"
SIA_transport_helicopter6: "Pĕd Bin H-V"
SIA_transport_helicopter7: "Pĕd Bin H-VI"
SIA_transport_helicopter8: "Pĕd Bin H-VII"
SIA_transport_helicopter9: "Pĕd Bin H-VIII"
SIA_transport_helicopter10: "Pĕd Bin H-IX"
SIA_infantry_weapons8: "Type 22 RTA"
SIA_infantry_weapons9: "Type 29 RTA"
SIA_infantry_weapons10: "Type 42 RTA"
SIA_infantry_weapons11: "Type 47 RTA"
SIA_infantry_weapons12: "Type 49 RTA"
SIA_infantry_weapons13: "Type 57 RTA"
SIA_infantry_weapons14: "Type 66 RTA"
SIA_command_control_equipment7: "SIRTA-105"
SIA_command_control_equipment8: "SIRTA-118"
SIA_command_control_equipment9: "SIRTA-120"
SIA_command_control_equipment10: "SIRTA-127"
SIA_command_control_equipment11: "SIRTA-140"
SIA_command_control_equipment12: "SIRTA-154"
SIA_command_control_equipment13: "SIRTA-166"
SIA_util_vehicle8: "Thairung MUV456"
SIA_util_vehicle9: "Thairung MUV469"
SIA_util_vehicle10: "Thairung MUV476"
SIA_util_vehicle11: "Thairung MUV484"
SIA_util_vehicle12: "Thairung MUV485"
SIA_util_vehicle13: "Thairung MUV495"
SIA_util_vehicle14: "Thairung MUV496"
